person_id,player_name,std_first_name,german
00QBT5SMDO000000VV0AG819VSKRC3V1,Dominik Oswald,dominik,Y
00QBTBTTK8000000VV0AG819VSKRC3V1,Stefan Hoesl,stefan,Y
00QBSN1N4C000000VV0AG819VSKRC3V1,Johannes Buettner,johannes,Y
024B5QOP38000000VS54898FVV03JNV3,Cristian Bloju,cristian,N
00QBTGGR0C000000VV0AG819VSKRC3V1,Alpay Akarsu,alpay,N
00QBSQ6AIS000000VV0AG819VSKRC3V1,Oguzhan Günaydin,oguzhan,N
01PTF3UEQK000000VV0AG80NVS0IK972,Kevin Herrera Santana,kevin,N
00QBT8MFGG000000VV0AG819VSKRC3V1,Martin Mayr,martin,Y
00QBSPATI0000000VV0AG819VSKRC3V1,Daniel Riederer,daniel,Y
00QBSTHTQ4000000VV0AG819VSKRC3V1,Kevin Carosella,kevin,N
00QBSDVJHO000000VV0AG819VSKRC3V1,Dominik Eitel,dominik,Y
00QBT9K3FC000000VV0AG819VSKRC3V1,Samuel Hänsler,samuel,Y
00QBTHBJGG000000VV0AG819VSKRC3V1,Marco Wilms,marco,Y
01PGH5C380000000VV0AG811VS4PV8CU,Aymen Ahmed,aymen,N
023P84RHK0000000VS54898GVVQ4NDUR,Florian Gabriel,florian,Y
00QBSP7S60000000VV0AG819VSKRC3V1,David Mai,david,Y
00QBT9D4AG000000VV0AG819VSKRC3V1,Tobias Wöhr,tobias,Y
01V6OTD7RS000000VS54898FVU7JQBI1,Nicholas Waswa,nicholas,N
00QBT895JS000000VV0AG819VSKRC3V1,Thomas Mandl,thomas,Y
00QBRQ7SAC000000VV0AG819VSPRME8B,Sebastian Mayer,sebastian,Y
00QBSIJKL8000000VV0AG819VSKRC3V1,Matthias Lender,matthias,Y
00QBS501BG000000VV0AG819VSKRC3V1,Markus Hanusch,markus,Y
00QBSOV0C8000000VV0AG819VSKRC3V1,Marc Meister,marc,Y
00Q5Q78EIC000000VV0AG85VVV05E0NJ,Michael Waibel,michael,Y
00QBSMKV3G000000VV0AG819VSKRC3V1,Ben Ebert,ben,Y
00QBSBOD34000000VV0AG819VSPRME8B,Mario Weinberger,mario,Y
0128ECF2N4000000VV0AG80NVUT6UVBV,Andre Stephan,andre,Y
00QBSILLN4000000VV0AG819VSKRC3V1,Kevin Treis,kevin,Y
00QBT6QGL4000000VV0AG819VSKRC3V1,Tobias Klingl,tobias,Y
00QBSQ6TA4000000VV0AG819VSKRC3V1,Kevin Baszton,kevin,N
01PK5MCBDS000000VV0AG80NVTS1BKRE,Ahmad Hamwi,ahmad,N
00QBTIHSFS000000VV0AG819VSKRC3V1,Michael Bösl,michael,Y
00QBSOUPIO000000VV0AG819VSKRC3V1,Christoph Wallner,christoph,Y
00QBSF29OO000000VV0AG819VSKRC3V1,Manuel Stark,manuel,Y
01KDCEC1B8000000VV0AG811VTPSTOLB,Onyeoyibo Ikemefula Kingsley,onyeoyibo,N
00QBT3UF9S000000VV0AG819VSKRC3V1,Oliver Stefanovic,oliver,N
00QBT9I5SO000000VV0AG819VSKRC3V1,Thomas Winberger,thomas,Y
00QBSL1H1O000000VV0AG819VSKRC3V1,Martin Ohlschmid,martin,Y
00QBSD7BP0000000VV0AG819VSPRME8B,Andreas Passenheim,andreas,Y
00QBSJA158000000VV0AG819VSKRC3V1,Benedikt Hönninger,benedikt,Y
00QBSKQJIC000000VV0AG819VSKRC3V1,David Sedlmeier,david,Y
00QBRQQ570000000VV0AG819VSKRC3V1,Stephan Hoerr,stephan,Y
00QBT62EI8000000VV0AG819VSPRME8B,Holger Streckfuss,holger,Y
01DO0OL360000000VV0AG80NVT5FJBAQ,Stefan Riedl,stefan,Y
00QBT8IQ5O000000VV0AG819VSKRC3V1,Amir Ganibegovic,amir,N
00QBSDT9EK000000VV0AG819VSPRME8B,Manuel Neubauer,manuel,Y
00QBT0F77G000000VV0AG819VSKRC3V1,Wolfgang Häusler,wolfgang,Y
020PSL28GK000000VS54898GVU0177HP,Mateo Zecevic,mateo,N
01201O3TMG000000VV0AG80NVSQNIN5M,Valentin Schabert,valentin,Y
00QBSCJA9G000000VV0AG819VSPRME8B,Alexander Wollinger,alexander,Y
00QBTFQAFK000000VV0AG819VSKRC3V1,Josef Himmelstoss,josef,Y
00QBT4VN2C000000VV0AG819VSKRC3V1,Luckas Baumann,luckas,Y
00QBSKQ8P4000000VV0AG819VSKRC3V1,Hendrik Massink,hendrik,Y
00QBSKQGQS000000VV0AG819VSKRC3V1,Lukas Schlabschi,lukas,Y
00QBS9OJUS000000VV0AG819VSPRME8B,Benjamin Schiller,benjamin,Y
02480AGQPK000000VS54898FVV03JNV3,Costel Girigan,costel,N
00QBSKQU3S000000VV0AG819VSKRC3V1,Korbinian Fuchshuber,korbinian,Y
00QBSEJ4M4000000VV0AG819VSPRME8B,Florian Strasser,florian,Y
00QBT48JUG000000VV0AG819VSKRC3V1,Manuel Klix,manuel,Y
00QBTIPU48000000VV0AG819VSKRC3V1,Jan Schmalenberg,jan,Y
00QBT9HEM4000000VV0AG819VSKRC3V1,Stefan Guerster,stefan,Y
00QBTFL890000000VV0AG819VSKRC3V1,Josef Woerz,josef,Y
00QBSAB33S000000VV0AG819VSPRME8B,Josef Stadler,josef,Y
00QBTCOVP4000000VV0AG819VSKRC3V1,Arthur Ulinets,arthur,N
01U2C7IGRO000000VS54898FVV20EE98,Servet Tazegül,servet,N
00QBTB477C000000VV0AG819VSPRME8B,Sascha Deeg,sascha,Y
00QBT4J0B0000000VV0AG819VSKRC3V1,Alexander Kopf,alexander,Y
00QBSQAAHK000000VV0AG819VSKRC3V1,Manuel Wagatha,manuel,N
00T3G4I97C000000VV0AG85VVU5BJVG4,Murat Saglar,murat,N
00QBSBIUG8000000VV0AG819VSKRC3V1,Frederick Pressler,frederick,Y
00QBS37VT8000000VV0AG819VSPRME8B,Michael Mößnang,michael,Y
00QBS9S4VS000000VV0AG819VSKRC3V1,Alexander Schwab,alexander,Y
00QBS7DPS0000000VV0AG819VSPRME8B,Clemens Kramer,clemens,Y
00S9HG5NNO000000VV0AG811VTP102JQ,Jonathan Kößer,jonathan,Y
00QBSRELQO000000VV0AG819VSKRC3V1,Sebastian Meier,sebastian,Y
00QBSHVI5K000000VV0AG819VSPRME8B,Nicolas Natterer,nicolas,Y
00QBSC88T0000000VV0AG819VSPRME8B,Markus Jungbauer,markus,Y
00QBT08G74000000VV0AG819VSKRC3V1,Ercan Karahasan,ercan,N
00QBRVOP9K000000VV0AG819VSPRME8B,Florian Loibl,florian,Y
00QBSA54H8000000VV0AG819VSKRC3V1,Mahmut Öztürk,mahmut,N
00LIBB8BQ4000000VV0AG85VVT8VI1SB,Filip Kowalczuk,filip,N
00QBSAV7D4000000VV0AG819VSKRC3V1,Tobias Wiedemann,tobias,Y
00QBSDC5N4000000VV0AG819VSKRC3V1,Timo Hirmer,timo,Y
00QBTF652O000000VV0AG819VSKRC3V1,Dennis Peuker,dennis,Y
00QBSTS33G000000VV0AG819VSKRC3V1,Ricki Weigel,ricki,Y
00QBTG0C40000000VV0AG819VSKRC3V1,Daniel Bichl,daniel,Y
00QBS3AVP0000000VV0AG819VSKRC3V1,Thomas Beckert,thomas,Y
00QBTCB11S000000VV0AG819VSKRC3V1,Fabio Milone,fabio,N
00QBSVKPM8000000VV0AG819VSKRC3V1,Lukas Stockbauer,lukas,Y
00QBSL9JE8000000VV0AG819VSKRC3V1,Fabian Schäffer,fabian,Y
01DO0P0VVS000000VV0AG80NVT5FJBAQ,Tobias Rusp,tobias,Y
01Q1JKPDC8000000VV0AG811VUNH3IDQ,Clement Tao,clement,N
00QBSF4JS4000000VV0AG819VSKRC3V1,Tobias Stelzle,tobias,Y
00QBT6E7FO000000VV0AG819VSKRC3V1,Bastian Killinger,bastian,Y
00QBSKTQR8000000VV0AG819VSPRME8B,Martin Kast,martin,Y
00QBSRQI9G000000VV0AG819VSKRC3V1,Diego Hones,diego,N
01LF63PT34000000VV0AG811VV1ATVK3,Ivica Kosic,ivica,N
00QBT8GQSK000000VV0AG819VSKRC3V1,Matthias Goess,matthias,Y
023JVSAUP0000000VS54898GVSVT7CRA,Chala Abdurezak Muhammed,chala,N
00QBT9NEVK000000VV0AG819VSKRC3V1,Lukas Binder,lukas,Y
00QBSP2D8K000000VV0AG819VSPRME8B,Alexander Warmuth,alexander,Y
00QBSBNPPO000000VV0AG819VSPRME8B,Frank Saller,frank,Y
00QBTBFOM8000000VV0AG819VSKRC3V1,Fabian Zanker,fabian,Y
00QBSN97NO000000VV0AG819VSKRC3V1,Stefan Fängewisch,stefan,Y
00QBSKU90G000000VV0AG819VSKRC3V1,Sebastian Sattler,sebastian,Y
00QBSQDP0C000000VV0AG819VSKRC3V1,Muhammed Hyseni,muhammed,N
00QBS42SS8000000VV0AG819VSKRC3V1,Stefan Mies,stefan,Y
00QBT4QGD8000000VV0AG819VSKRC3V1,Maximilian Weiß,maximilian,Y
01R0SNFELC000000VS548985VT21HNOS,Nicolae Olaru,nicolae,N
00QBS9S0BG000000VV0AG819VSKRC3V1,Georg Kaiser,georg,Y
